Genre,Year,MAX_Sales,Mean_Sales
Sports,1900-01-01,5.23,0.5164285714285715
Action,1900-01-01,3.17,0.4492063492063492
Fighting,1900-01-01,3.0,0.405
Shooter,1900-01-01,2.53,0.3989285714285714
Misc,1900-01-01,2.48,0.42551724137931035
Adventure,1900-01-01,2.39,0.42400000000000004
Racing,1900-01-01,1.22,0.22913043478260867
Platform,1900-01-01,1.03,0.22200000000000003
Role-Playing,1900-01-01,0.98,0.2076470588235294
Puzzle,1900-01-01,0.74,0.24818181818181817
Strategy,1900-01-01,0.63,0.16899999999999998
Simulation,1900-01-01,0.4,0.1275
Shooter,1980-01-01,4.31,3.5349999999999997
Misc,1980-01-01,1.15,0.6775
Fighting,1980-01-01,0.77,0.77
Sports,1980-01-01,0.49,0.49
Action,1980-01-01,0.34,0.34
Platform,1981-01-01,4.5,2.31
Action,1981-01-01,2.2,0.5936
Shooter,1981-01-01,2.13,1.004
Puzzle,1981-01-01,1.65,1.1199999999999999
Racing,1981-01-01,0.48,0.48
Simulation,1981-01-01,0.45,0.45
Sports,1981-01-01,0.26,0.1975
Puzzle,1982-01-01,7.81,3.3433333333333333
Platform,1982-01-01,1.59,1.006
Racing,1982-01-01,1.18,0.7849999999999999
Shooter,1982-01-01,1.12,0.758
Misc,1982-01-01,0.87,0.87
Action,1982-01-01,0.66,0.3622222222222222
Sports,1982-01-01,0.55,0.525
Sports,1983-01-01,3.2,3.2
Platform,1983-01-01,2.28,1.386
Misc,1983-01-01,2.14,2.14
Puzzle,1983-01-01,0.78,0.78
Action,1983-01-01,0.77,0.40857142857142853
Shooter,1983-01-01,0.48,0.48
Adventure,1983-01-01,0.4,0.4
Shooter,1984-01-01,28.31,10.366666666666665
Racing,1984-01-01,4.16,1.9833333333333334
Sports,1984-01-01,4.01,3.09
Action,1984-01-01,1.85,1.85
Misc,1984-01-01,1.45,1.45
Puzzle,1984-01-01,1.22,1.0466666666666666
Platform,1984-01-01,0.69,0.69
Platform,1985-01-01,40.24,10.7925
Action,1985-01-01,3.5,1.76
Sports,1985-01-01,1.96,1.96
Puzzle,1985-01-01,1.32,0.8025
Fighting,1985-01-01,1.05,1.05
Shooter,1985-01-01,1.0,1.0
Simulation,1985-01-01,0.03,0.03
Action,1986-01-01,6.51,2.29
Sports,1986-01-01,3.08,1.8566666666666667
Platform,1986-01-01,2.65,1.5650000000000002
Role-Playing,1986-01-01,2.52,2.52
Racing,1986-01-01,1.96,1.96
Shooter,1986-01-01,1.36,0.9725
Adventure,1987-01-01,4.38,4.38
Fighting,1987-01-01,3.02,2.71
Role-Playing,1987-01-01,2.56,1.55
Sports,1987-01-01,2.15,0.9299999999999999
Platform,1987-01-01,0.93,0.8700000000000001
Action,1987-01-01,0.65,0.56
Shooter,1987-01-01,0.45,0.355
Platform,1988-01-01,17.28,6.9325
Puzzle,1988-01-01,5.58,5.58
Role-Playing,1988-01-01,3.87,1.96
Sports,1988-01-01,2.42,1.7999999999999998
Racing,1988-01-01,2.14,2.14
Action,1988-01-01,1.51,0.875
Shooter,1988-01-01,0.51,0.51
Simulation,1988-01-01,0.03,0.03
Puzzle,1989-01-01,30.26,7.55
Platform,1989-01-01,18.14,6.886666666666667
Action,1989-01-01,4.17,2.32
Sports,1989-01-01,2.12,1.906666666666667
Misc,1989-01-01,1.28,1.28
Shooter,1989-01-01,1.2,1.2
Role-Playing,1989-01-01,1.1,1.1
Platform,1990-01-01,20.61,7.656666666666666
Puzzle,1990-01-01,4.85,3.0
Racing,1990-01-01,3.41,3.13
Role-Playing,1990-01-01,3.12,2.26
Action,1990-01-01,2.6,2.1300000000000003
Sports,1990-01-01,1.48,0.7033333333333333
Simulation,1990-01-01,1.14,1.14
Action,1991-01-01,4.61,1.3519999999999999
Platform,1991-01-01,4.34,1.2733333333333332
Simulation,1991-01-01,1.98,1.07
Role-Playing,1991-01-01,1.77,0.65
Adventure,1991-01-01,1.76,1.12
Puzzle,1991-01-01,1.75,0.81
Shooter,1991-01-01,1.65,0.6666666666666666
Racing,1991-01-01,1.14,1.14
Sports,1991-01-01,1.0,0.3442857142857143
Fighting,1991-01-01,0.39,0.39
Strategy,1991-01-01,0.33,0.235
Misc,1991-01-01,0.08,0.08
Adventure,1992-01-01,11.18,3.06
Racing,1992-01-01,8.76,4.52
Fighting,1992-01-01,6.3,2.1785714285714284
