Publisher,Year,MAX_Sales,Mean_Sales
Ubisoft,2020-01-01,0.29,0.29
Sega,2017-01-01,0.03,0.02
Idea Factory,2017-01-01,0.01,0.01
Electronic Arts,2016-01-01,4.77,0.6125
Sony Computer Entertainment,2016-01-01,4.2,1.312
Ubisoft,2016-01-01,3.61,0.7507692307692307
Activision,2016-01-01,1.73,0.2621428571428571
Hello Games,2016-01-01,1.6,1.6
Namco Bandai Games,2016-01-01,1.56,0.16225
Bethesda Softworks,2016-01-01,1.39,0.75
Level 5,2016-01-01,1.27,0.91
Take-Two Interactive,2016-01-01,1.19,0.24083333333333334
Nintendo,2016-01-01,0.94,0.347
Capcom,2016-01-01,0.82,0.11777777777777779
Warner Bros. Interactive Entertainment,2016-01-01,0.64,0.25142857142857145
Square Enix,2016-01-01,0.63,0.17650000000000002
Microsoft Game Studios,2016-01-01,0.51,0.355
Atlus,2016-01-01,0.34,0.23
Codemasters,2016-01-01,0.32,0.13999999999999999
Deep Silver,2016-01-01,0.31,0.08818181818181818
Konami Digital Entertainment,2016-01-01,0.28,0.15125
505 Games,2016-01-01,0.23,0.07714285714285715
GungHo,2016-01-01,0.2,0.2
Tecmo Koei,2016-01-01,0.2,0.054117647058823534
Kadokawa Games,2016-01-01,0.19,0.11
Marvelous Interactive,2016-01-01,0.19,0.19
Nippon Ichi Software,2016-01-01,0.18,0.047499999999999994
Sega,2016-01-01,0.17,0.09625
Telltale Games,2016-01-01,0.12,0.0525
Unknown,2016-01-01,0.1,0.03166666666666667
Nihon Falcom Corporation,2016-01-01,0.09,0.043333333333333335
Milestone S.r.l.,2016-01-01,0.08,0.04666666666666667
PQube,2016-01-01,0.07,0.046
Aksys Games,2016-01-01,0.06,0.06
Insomniac Games,2016-01-01,0.06,0.04
Nippon Columbia,2016-01-01,0.06,0.06
Aqua Plus,2016-01-01,0.05,0.03333333333333333
Broccoli,2016-01-01,0.05,0.030000000000000002
Focus Home Interactive,2016-01-01,0.05,0.032
FuRyu,2016-01-01,0.05,0.043333333333333335
Alternative Software,2016-01-01,0.04,0.0275
D3Publisher,2016-01-01,0.04,0.02666666666666667
Happinet,2016-01-01,0.04,0.04
MLB.com,2016-01-01,0.04,0.04
Milestone S.r.l,2016-01-01,0.04,0.025
Dusenberry Martin Racing,2016-01-01,0.03,0.025
Idea Factory,2016-01-01,0.03,0.017142857142857144
Paradox Interactive,2016-01-01,0.03,0.03
Rocket Company,2016-01-01,0.03,0.03
5pb,2016-01-01,0.02,0.02
Astragon,2016-01-01,0.02,0.02
Atari,2016-01-01,0.02,0.02
Avanquest,2016-01-01,0.02,0.02
Compile Heart,2016-01-01,0.02,0.02
